Exx' Eyy' Et Ezz' 
2.5000000000e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
3.0000000000e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
3.0000000000e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
4.0000000000e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
4.0000000000e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
4.3500000000e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
4.3500000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
4.7000000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
4.7000000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
5.7000000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
5.7000000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
6.2000000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
6.2900000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.0500000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.0500000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.6780000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.6780000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.7340000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.7340000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.7900000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.7900000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.8460000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.8460000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
7.8460000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
8.2860000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
8.4860000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
8.7860000001e-01 2.1000000000e-01 2.1000000000e-01 2.1000000000e-01 3.4000000000e-01 
8.9029230790e-01 2.1000000003e-01 2.1000000008e-01 2.1000000006e-01 3.4000000005e-01 
9.0198461579e-01 2.0999999989e-01 2.1000000026e-01 2.1000000007e-01 3.3999999982e-01 
9.1367692368e-01 2.0999999883e-01 2.0999999997e-01 2.0999999940e-01 3.3999999810e-01 
9.2536923157e-01 2.0999999458e-01 2.0999999467e-01 2.0999999462e-01 3.3999999124e-01 
9.3706153946e-01 2.0999998416e-01 2.1000002717e-01 2.1000000566e-01 3.3999997632e-01 
9.4875384735e-01 2.0999998167e-01 2.1000096970e-01 2.1000047566e-01 3.4000002065e-01 
9.6044615524e-01 2.1000001823e-01 2.1000768619e-01 2.1000385155e-01 3.4000014411e-01 
9.7213846313e-01 2.1000002606e-01 2.1002119720e-01 2.1001060906e-01 3.4000019969e-01 
9.8383077102e-01 2.0999996715e-01 2.1002159879e-01 2.1001077901e-01 3.4000349625e-01 
9.9552307890e-01 2.0999994371e-01 2.1001653929e-01 2.1000823728e-01 3.4000858198e-01 
1.0072153868e+00 2.0999994609e-01 2.1001891309e-01 2.1000942606e-01 3.4000623920e-01 
1.0189076947e+00 2.0999998288e-01 2.1002364768e-01 2.1001181050e-01 3.4000061055e-01 
1.0306000026e+00 2.1000000976e-01 2.1001264494e-01 2.1000631914e-01 3.4000003730e-01 
1.0422923105e+00 2.0999996810e-01 2.1000146591e-01 2.1000070421e-01 3.3999998229e-01 
1.0539846184e+00 2.0999994261e-01 2.1000005739e-01 2.0999998451e-01 3.3999989669e-01 
1.0656769262e+00 2.0999995129e-01 2.1000051794e-01 2.1000021865e-01 3.3999991864e-01 
1.0773692341e+00 2.0999995779e-01 2.1000067567e-01 2.1000030084e-01 3.3999992978e-01 
