Linac Beam 
2.5000000000e-01 2.1226695000e+00 2.1226695000e+00 
3.0000000000e-01 2.1226695000e+00 2.1226695000e+00 
3.0000000000e-01 2.1226695000e+00 2.1226695000e+00 
4.0000000000e-01 2.1226695000e+00 2.1226695000e+00 
4.0000000000e-01 2.1226695000e+00 2.1226695000e+00 
4.3500000000e-01 2.1226695000e+00 2.1226695000e+00 
4.3500000001e-01 2.1226695000e+00 2.1226695000e+00 
4.7000000001e-01 2.1226695000e+00 2.1226695000e+00 
4.7000000001e-01 2.1226695000e+00 2.1226695000e+00 
5.7000000001e-01 2.1226695000e+00 2.1226695000e+00 
5.7000000001e-01 2.1226695000e+00 2.1226695000e+00 
6.2000000001e-01 2.1226695000e+00 2.1226695000e+00 
6.2900000001e-01 2.1226695000e+00 2.1226695000e+00 
7.0500000001e-01 2.1226695000e+00 2.1226695000e+00 
7.0500000001e-01 2.1226695000e+00 2.1226695000e+00 
7.6780000001e-01 2.1226695000e+00 2.1226695000e+00 
7.6780000001e-01 2.1226695000e+00 2.1226695000e+00 
7.7340000001e-01 2.1226695000e+00 2.1226695000e+00 
7.7340000001e-01 2.1226695000e+00 2.1226695000e+00 
7.7900000001e-01 2.1226695000e+00 2.1226695000e+00 
7.7900000001e-01 2.1226695000e+00 2.1226695000e+00 
7.8460000001e-01 2.1226695000e+00 2.1226695000e+00 
7.8460000001e-01 2.1226695000e+00 2.1226695000e+00 
7.8460000001e-01 2.1226695000e+00 2.1226695000e+00 
8.2860000001e-01 2.1226695000e+00 2.1226695000e+00 
8.4860000001e-01 2.1226695000e+00 2.1226695000e+00 
8.7860000001e-01 2.1226695000e+00 2.1226695000e+00 
8.9029230790e-01 2.1226787417e+00 2.1226787417e+00 
9.0198461579e-01 2.1226906882e+00 2.1226906882e+00 
9.1367692368e-01 2.1226699329e+00 2.1226699329e+00 
9.2536923157e-01 2.1223982739e+00 2.1223982739e+00 
9.3706153946e-01 2.1210884461e+00 2.1210884461e+00 
9.4875384735e-01 2.1172409353e+00 2.1172409353e+00 
9.6044615524e-01 2.1118852129e+00 2.1118852129e+00 
9.7213846313e-01 2.1114081737e+00 2.1114081737e+00 
9.8383077102e-01 2.1166819375e+00 2.1166819375e+00 
9.9552307890e-01 2.1203734076e+00 2.1203734076e+00 
1.0072153868e+00 2.1187958658e+00 2.1187958658e+00 
1.0189076947e+00 2.1133003287e+00 2.1133003287e+00 
1.0306000026e+00 2.1107626175e+00 2.1107626175e+00 
1.0422923105e+00 2.1148620586e+00 2.1148620586e+00 
1.0539846184e+00 2.1198506012e+00 2.1198506012e+00 
1.0656769262e+00 2.1220514440e+00 2.1220514440e+00 
1.0773692341e+00 2.1226124104e+00 2.1226124104e+00 
1.0890615420e+00 2.1226914013e+00 2.1226914013e+00 
1.1007538499e+00 2.1226836685e+00 2.1226836685e+00 
1.1124461578e+00 2.1226730731e+00 2.1226730731e+00 
1.1186000002e+00 2.1226694303e+00 2.1226694303e+00 
1.1486000000e+00 2.1226694303e+00 2.1226694303e+00 
1.1500000000e+00 2.1226694303e+00 2.1226694303e+00 
1.2000000000e+00 2.1226694303e+00 2.1226694303e+00 
1.2000000000e+00 2.1226694303e+00 2.1226694303e+00 
1.3000000000e+00 2.1226694303e+00 2.1226694303e+00 
1.3000000000e+00 2.1226694303e+00 2.1226694303e+00 
1.3350000000e+00 2.1226694303e+00 2.1226694303e+00 
1.3350000000e+00 2.1226694303e+00 2.1226694303e+00 
1.3700000000e+00 2.1226694303e+00 2.1226694303e+00 
1.3700000000e+00 2.1226694303e+00 2.1226694303e+00 
1.4700000000e+00 2.1226694303e+00 2.1226694303e+00 
1.4700000000e+00 2.1226694303e+00 2.1226694303e+00 
1.5200000000e+00 2.1226694303e+00 2.1226694303e+00 
