ELE# 1 : 0.25 m
+1.000000e+00 +2.500000e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.000000e+00 +2.500000e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +2.488739e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 2 : 0.3 m
+1.000000e+00 +3.000000e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.000000e+00 +3.000000e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +2.986487e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 3 : 0.3 m
+1.000000e+00 +3.000000e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.000000e+00 +3.000000e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +2.986487e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 4 : 0.4 m
+1.303667e+00 +5.010311e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.363529e+00 +3.212726e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +7.242621e-01 +3.079063e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.246129e+00 -8.495767e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +3.981982e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 5 : 0.4 m
+1.303667e+00 +5.010311e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.363529e+00 +3.212726e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +7.242621e-01 +3.079063e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.246129e+00 -8.495767e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +3.981982e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 6 : 0.435 m
+1.526391e+00 +6.134765e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.363529e+00 +3.212726e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.406476e-01 +2.781711e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.246129e+00 -8.495767e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +4.330406e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 7 : 0.435 m
+1.526391e+00 +6.134765e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.363529e+00 +3.212726e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +5.406476e-01 +2.781711e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.246129e+00 -8.495767e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +4.330406e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 8 : 0.47 m
+1.749114e+00 +7.259219e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+6.363529e+00 +3.212726e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +3.570331e-01 +2.484359e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -5.246129e+00 -8.495767e-01 +0.000000e+00 +0.000000e+00 
