 mc2(MeV) freq(MHz) Z I(mA) npart
  939.2943081000   162.5  -1    5      100000
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99 ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz e6D sxy sx'y'
0 0.000000e+00 2.259856e-03 0.000000e+00 0.000000e+00 -0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.932370e-01 5.939482e-01 7.144378e+00 -3.833691e+00 2.978114e-01 0.000000e+00 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 -0.000000e+00 0.000000e+00 5.000000e+00 0.000000e+00 4.410000e-02 0.000000e+00 0.000000e+00 -1.000000e+19 0.000000e+00 0.000000e+00 3.400000e-01 2.457251e+00 -0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
1 2.500000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.400577e-01 1.599136e+00 7.552829e+00 2.553633e+00 8.886654e+00 -3.428191e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 3.224744e-01 2.354823e-01 4.597637e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.600000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.597734e+00 2.780530e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
2 3.000000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.012063e+00 1.882127e+00 7.719419e+00 3.823433e+00 1.082418e+01 -4.021410e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.113181e-01 5.936697e-02 4.180974e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.655031e+00 3.261677e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
3 3.000000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.012063e+00 1.882127e+00 7.719419e+00 3.823433e+00 1.082418e+01 -4.021410e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.121320e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.655031e+00 3.261677e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
4 4.000000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.776319e+00 1.897824e+00 8.114601e+00 2.149267e+01 -1.036366e+01 -5.134814e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 1.099161e-01 4.548741e-02 3.895686e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.790951e+00 4.164734e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
5 4.000000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.776319e+00 1.897824e+00 8.114601e+00 2.149267e+01 -1.036366e+01 -5.134814e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.121320e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.790951e+00 4.164734e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
6 4.350000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.201438e+00 1.708446e+00 8.269857e+00 2.682975e+01 -9.154246e+00 -5.512946e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 4.558349e-02 5.528618e-02 3.631070e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.844350e+00 4.471429e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
7 4.350000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.201438e+00 1.708446e+00 8.269857e+00 2.682975e+01 -9.154246e+00 -5.512946e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 3.690868e-02 6.128284e-02 3.563479e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.480000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.844350e+00 4.471429e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
8 4.700000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.629156e+00 1.522981e+00 8.432932e+00 3.220922e+01 -7.973618e+00 -5.888638e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 3.081406e-02 6.891284e-02 3.493920e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.900439e+00 4.776144e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
9 4.700000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.629156e+00 1.522981e+00 8.432932e+00 3.220922e+01 -7.973618e+00 -5.888638e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.121320e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 2.900439e+00 4.776144e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
