 mc2(MeV) freq(MHz) Z I(mA) npart
    939.294308 0.1625000E+03  -1. 5.00000E+00     100000
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99 ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
    0    -0.0000000 0.2259856E-02 0.5175400E-08 -.3189213E-08 -.1026131E-06 -.1265438E-07 -.4351401E-07 -.5000142E-06 0.9932370E+00 0.5939482E+00 0.7144595E+01 -.3833691E+01 0.2978114E+00 0.0000000E+00 0.2100000E+00 0.2100000E+00 0.6232022E-01 0.1013315E+01 0.1010862E+01 0.9896734E+00     100000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1942138E+01 0.1951638E+01 0.3114032E+01 0.0000000E+00 -.5000141E-06 0.5000000E+01 0.1600000E+02 0.4410000E-01 0.3408495E+00 0.0000000E+00 0.0000000E+00 0.4291870E+01 0.2669056E+01 0.3400104E+00 0.2457326E+01 0.1769854E-04 -.5262719E-07 0.5289307E-08 0.4595074E-06 0.3359220E-06 0.1499446E-01 0.7361460E-10 0.2766620E-08
    1     0.2500000 0.2259856E-02 -.3147530E-03 -.3062538E-04 0.2407042E-01 -.1784556E-02 -.2419708E-03 0.1287092E-04 0.8422328E+00 0.1602005E+01 0.7568537E+01 0.2561621E+01 0.8948948E+01 0.0000000E+00 0.2104094E+00 0.2111929E+00 0.6331545E-01 0.1016333E+01 0.1020209E+01 0.1044286E+01     100000 0.3219685E+00 0.2372044E+00 0.4665190E-01 0.1946047E+01 0.1968494E+01 0.3234838E+01 0.8532064E-04 -.5000141E-06 0.5000000E+01 0.1600000E+02 0.4443696E-01 0.3282946E+00 0.1855367E+01 0.0000000E+00 0.3706136E+01 0.6660620E+01 0.3454402E+00 0.2603137E+01 0.2898720E+01 0.1940147E+00 -.8774337E-02 0.1688227E+01 -.3281900E+00 0.1535030E-01 -.2071276E-03 -.6252386E-02
    2     0.3000000 0.2259856E-02 -.4017639E-03 -.4406546E-04 0.2898573E-01 -.1690374E-02 -.2936756E-03 0.1754357E-04 0.1014203E+01 0.1886626E+01 0.7741984E+01 0.3828704E+01 0.1091814E+02 0.0000000E+00 0.2103763E+00 0.2116733E+00 0.6353246E-01 0.1016798E+01 0.1023834E+01 0.1056565E+01     100000 0.2111713E+00 0.5971107E-01 0.4242417E-01 0.1946130E+01 0.1974008E+01 0.3261657E+01 0.1023850E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4453104E-01 0.3322293E+00 0.7315686E+00 0.0000000E+00 0.4436751E+01 0.7773744E+01 0.3466242E+00 0.2662792E+01 0.3407317E+01 0.2869880E+00 -.3329772E-01 0.1795624E+01 -.3998573E+00 0.1543553E-01 -.3669823E-03 -.6321220E-02
    3     0.3000000 0.2259856E-02 -.4017639E-03 -.4406546E-04 0.2898573E-01 -.1690374E-02 -.2936756E-03 0.1754357E-04 0.1014203E+01 0.1886626E+01 0.7741984E+01 0.3828704E+01 0.1091814E+02 0.0000000E+00 0.2103763E+00 0.2116733E+00 0.6353246E-01 0.1016798E+01 0.1023834E+01 0.1056565E+01     100000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1946130E+01 0.1974008E+01 0.3261657E+01 0.1023850E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4453104E-01 0.3322293E+00 0.0000000E+00 0.0000000E+00 0.4436751E+01 0.7773744E+01 0.3466242E+00 0.2662792E+01 0.3407317E+01 0.2869880E+00 -.3329772E-01 0.1795624E+01 -.3998573E+00 0.1543553E-01 -.3669823E-03 -.6321220E-02
    4     0.4000000 0.2259856E-02 -.6986045E-03 -.6173508E-04 0.4345369E-01 -.4531909E-02 -.4268933E-04 0.2351468E-04 0.1777728E+01 0.1904512E+01 0.8141954E+01 0.2150555E+02 -.1037414E+02 0.0000000E+00 0.2103583E+00 0.2126916E+00 0.6384807E-01 0.1019307E+01 0.1031915E+01 0.1073874E+01     100000 0.1074202E+00 0.4371186E-01 0.3871566E-01 0.1942406E+01 0.1984900E+01 0.3303607E+01 0.1365161E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4474142E-01 0.1582721E+01 0.2319332E+01 0.0000000E+00 0.7402121E+01 0.7697939E+01 0.3483461E+00 0.2800359E+01 0.4344072E+01 0.5750490E+00 -.6360964E-01 0.4234679E+01 -.2226096E+00 0.1558549E-01 -.7636931E-03 0.1196480E-01
    5     0.4000000 0.2259856E-02 -.6986045E-03 -.6173508E-04 0.4345369E-01 -.4531909E-02 -.4268933E-04 0.2351468E-04 0.1777728E+01 0.1904512E+01 0.8141954E+01 0.2150555E+02 -.1037414E+02 0.0000000E+00 0.2103583E+00 0.2126916E+00 0.6384807E-01 0.1019307E+01 0.1031915E+01 0.1073874E+01     100000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1942406E+01 0.1984900E+01 0.3303607E+01 0.1365161E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4474142E-01 0.1582721E+01 0.0000000E+00 0.0000000E+00 0.7402121E+01 0.7697939E+01 0.3483461E+00 0.2800359E+01 0.4344072E+01 0.5750490E+00 -.6360964E-01 0.4234679E+01 -.2226096E+00 0.1558549E-01 -.7636931E-03 0.1196480E-01
    6     0.4350000 0.2259856E-02 -.8559408E-03 -.6352644E-04 0.5303695E-01 -.4459462E-02 -.5935064E-04 0.2506647E-04 0.2202772E+01 0.1715647E+01 0.8303400E+01 0.2684206E+02 -.9166145E+01 0.0000000E+00 0.2103879E+00 0.2129701E+00 0.6394284E-01 0.1020799E+01 0.1034128E+01 0.1078903E+01     100000 0.4577358E-01 0.5553593E-01 0.3699437E-01 0.1942261E+01 0.1989617E+01 0.3324595E+01 0.1484620E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4480634E-01 0.1570115E+01 0.1846765E+01 0.0000000E+00 0.9064995E+01 0.6850441E+01 0.3488631E+00 0.2855887E+01 0.4666063E+01 0.7203917E+00 -.6949425E-01 0.4225351E+01 -.2394432E+00 0.1563127E-01 -.8814637E-03 0.1189614E-01
    7     0.4350000 0.2259856E-02 -.8559408E-03 -.6352644E-04 0.5303695E-01 -.4459462E-02 -.5935064E-04 0.2506647E-04 0.2202772E+01 0.1715647E+01 0.8303400E+01 0.2684206E+02 -.9166145E+01 0.0000000E+00 0.2103879E+00 0.2129701E+00 0.6394284E-01 0.1020799E+01 0.1034128E+01 0.1078903E+01     100000 0.3693208E-01 0.6162893E-01 0.3626891E-01 0.1942261E+01 0.1989617E+01 0.3324595E+01 0.1484620E-03 -.5000141E-06 0.5000000E+01 0.1480000E+02 0.4480634E-01 0.1570115E+01 0.1715541E+01 0.0000000E+00 0.9064995E+01 0.6850441E+01 0.3488631E+00 0.2855887E+01 0.4666063E+01 0.7203917E+00 -.6949425E-01 0.4225351E+01 -.2394432E+00 0.1563127E-01 -.8814637E-03 0.1189614E-01
    8     0.4700000 0.2259856E-02 -.1010820E-02 -.6587181E-04 0.6263437E-01 -.4391620E-02 -.7458254E-04 0.2653487E-04 0.2630449E+01 0.1530751E+01 0.8472968E+01 0.3222398E+02 -.7988521E+01 0.0000000E+00 0.2104530E+00 0.2131921E+00 0.6403006E-01 0.1022861E+01 0.1035789E+01 0.1083445E+01     100000 0.3094153E-01 0.6917557E-01 0.3559712E-01 0.1943994E+01 0.1995600E+01 0.3339553E+01 0.1604079E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4486692E-01 0.1522424E+01 0.1531049E+01 0.0000000E+00 0.1084735E+02 0.6116610E+01 0.3493390E+00 0.2914209E+01 0.4987772E+01 0.8626850E+00 -.7579520E-01 0.4202973E+01 -.2546693E+00 0.1567375E-01 -.9709067E-03 0.1184718E-01
    9     0.4700000 0.2259856E-02 -.1010820E-02 -.6587181E-04 0.6263437E-01 -.4391620E-02 -.7458254E-04 0.2653487E-04 0.2630449E+01 0.1530751E+01 0.8472968E+01 0.3222398E+02 -.7988521E+01 0.0000000E+00 0.2104530E+00 0.2131921E+00 0.6403006E-01 0.1022861E+01 0.1035789E+01 0.1083445E+01     100000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1943994E+01 0.1995600E+01 0.3339553E+01 0.1604079E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4486692E-01 0.1522424E+01 0.0000000E+00 0.0000000E+00 0.1084735E+02 0.6116610E+01 0.3493390E+00 0.2914209E+01 0.4987772E+01 0.8626850E+00 -.7579520E-01 0.4202973E+01 -.2546693E+00 0.1567375E-01 -.9709067E-03 0.1184718E-01
